product_name,variant,recorded_price,record_date,source_name
Base de carga mandos PS5,Rojo,18.0,15/01/2026,Aliexpress
Base de carga mandos PS5,Rojo,16.63,15/02/2026,Aliexpress
Base de carga mandos PS5,Rojo,17.74,15/03/2026,Aliexpress
Base de carga mandos PS5,Rojo,18.16,15/04/2026,Aliexpress
Base de carga mandos PS5,Rojo,17.92,15/05/2026,Aliexpress
Gamesir Tegenaria Lite,Negro/Blanco,26.82,15/01/2026,Aliexpress
Gamesir Tegenaria Lite,Negro/Blanco,29.18,15/02/2026,Aliexpress
Gamesir Tegenaria Lite,Negro/Blanco,29.88,15/03/2026,Aliexpress
Gamesir Tegenaria Lite,Negro/Blanco,31.38,15/04/2026,Aliexpress
Gamesir Tegenaria Lite,Negro/Blanco,27.77,15/05/2026,Aliexpress
Attack Shark X11,Negro/Blanco/Rojo,41.6,15/01/2026,Aliexpress
Attack Shark X11,Negro/Blanco/Rojo,41.84,15/02/2026,Aliexpress
Attack Shark X11,Negro/Blanco/Rojo,39.33,15/03/2026,Aliexpress
Attack Shark X11,Negro/Blanco/Rojo,39.7,15/04/2026,Aliexpress
Attack Shark X11,Negro/Blanco/Rojo,39.04,15/05/2026,Aliexpress
Silksong Eira Plushie,Unique,16.6,15/01/2026,Aliexpress
Silksong Eira Plushie,Unique,16.11,15/02/2026,Aliexpress
Silksong Eira Plushie,Unique,15.47,15/03/2026,Aliexpress
Silksong Eira Plushie,Unique,15.21,15/04/2026,Aliexpress
Silksong Eira Plushie,Unique,14.44,15/05/2026,Aliexpress
Silksong Sherma Plushie,Unique,12.23,15/01/2026,Aliexpress
Silksong Sherma Plushie,Unique,12.1,15/02/2026,Aliexpress
Silksong Sherma Plushie,Unique,11.9,15/03/2026,Aliexpress
Silksong Sherma Plushie,Unique,11.95,15/04/2026,Aliexpress
Silksong Sherma Plushie,Unique,11.9,15/05/2026,Aliexpress
FonkiiDokii Telescopic Controller,Blanco,26.1,15/01/2026,Aliexpress
FonkiiDokii Telescopic Controller,Blanco,25.62,15/02/2026,Aliexpress
FonkiiDokii Telescopic Controller,Blanco,25.73,15/03/2026,Aliexpress
FonkiiDokii Telescopic Controller,Blanco,25.39,15/04/2026,Aliexpress
FonkiiDokii Telescopic Controller,Blanco,24.95,15/05/2026,Aliexpress
Base de carga mandos PS5,Blanco,13.23,15/01/2026,Aliexpress
Base de carga mandos PS5,Blanco,13.26,15/02/2026,Aliexpress
Base de carga mandos PS5,Blanco,13.2,15/03/2026,Aliexpress
Base de carga mandos PS5,Blanco,12.95,15/04/2026,Aliexpress
Base de carga mandos PS5,Blanco,12.81,15/05/2026,Aliexpress
Mando Wukong,Unique,44.89,15/01/2026,Aliexpress
Mando Wukong,Unique,44.21,15/02/2026,Aliexpress
Mando Wukong,Unique,44.21,15/03/2026,Aliexpress
Mando Wukong,Unique,43.38,15/04/2026,Aliexpress
Mando Wukong,Unique,44.09,15/05/2026,Aliexpress
Peluche Ajolote,Unique,6.91,15/01/2026,Aliexpress
Peluche Ajolote,Unique,6.98,15/02/2026,Aliexpress
Peluche Ajolote,Unique,6.96,15/03/2026,Aliexpress
Peluche Ajolote,Unique,6.88,15/04/2026,Aliexpress
Peluche Ajolote,Unique,6.9,15/05/2026,Aliexpress
Flydigi Dunefox,Rosa,66.65,15/01/2026,Aliexpress
Flydigi Dunefox,Rosa,69.6,15/02/2026,Aliexpress
Flydigi Dunefox,Rosa,73.48,15/03/2026,Aliexpress
Flydigi Dunefox,Rosa,77.34,15/04/2026,Aliexpress
Flydigi Dunefox,Rosa,79.81,15/05/2026,Aliexpress
FonkiiDokii Controller,Negro/Blanco,27.81,15/01/2026,Aliexpress
FonkiiDokii Controller,Negro/Blanco,27.88,15/02/2026,Aliexpress
FonkiiDokii Controller,Negro/Blanco,27.91,15/03/2026,Aliexpress
FonkiiDokii Controller,Negro/Blanco,28.42,15/04/2026,Aliexpress
FonkiiDokii Controller,Negro/Blanco,28.81,15/05/2026,Aliexpress
Perro Mecanico,Naranja,10.09,15/01/2026,Aliexpress
Perro Mecanico,Naranja,10.57,15/02/2026,Aliexpress
Perro Mecanico,Naranja,10.73,15/03/2026,Aliexpress
Perro Mecanico,Naranja,10.84,15/04/2026,Aliexpress
Perro Mecanico,Naranja,11.14,15/05/2026,Aliexpress
Gamesir Nova Lite 2,Negro/Blanco,48.52,15/01/2026,Aliexpress
Gamesir Nova Lite 2,Negro/Blanco,48.59,15/02/2026,Aliexpress
Gamesir Nova Lite 2,Negro/Blanco,48.16,15/03/2026,Aliexpress
Gamesir Nova Lite 2,Negro/Blanco,49.1,15/04/2026,Aliexpress
Gamesir Nova Lite 2,Negro/Blanco,49.97,15/05/2026,Aliexpress
Gamesir X5 Lite,Negro/Blanco,39.21,15/01/2026,Aliexpress
Gamesir X5 Lite,Negro/Blanco,39.7,15/02/2026,Aliexpress
Gamesir X5 Lite,Negro/Blanco,40.03,15/03/2026,Aliexpress
Gamesir X5 Lite,Negro/Blanco,40.4,15/04/2026,Aliexpress
Gamesir X5 Lite,Negro/Blanco,40.84,15/05/2026,Aliexpress
Gamesir X5 Lite,Verde,35.21,15/01/2026,Aliexpress
Gamesir X5 Lite,Verde,37.7,15/02/2026,Aliexpress
Gamesir X5 Lite,Verde,40.03,15/03/2026,Aliexpress
Gamesir X5 Lite,Verde,33.4,15/04/2026,Aliexpress
Gamesir X5 Lite,Verde,45.84,15/05/2026,Aliexpress
Gamesir X5 Lite,Negro/Blanco,85.21,15/01/2026,Facebook
Gamesir X5 Lite,Negro/Blanco,95.7,15/02/2026,Facebook
Gamesir X5 Lite,Negro/Blanco,90.03,15/03/2026,Facebook
Gamesir X5 Lite,Negro/Blanco,95.4,15/04/2026,Facebook
Gamesir X5 Lite,Negro/Blanco,100.84,15/05/2026,Facebook
Gamesir X5 Lite,Verde,80.21,15/01/2026,Facebook
Gamesir X5 Lite,Verde,75.7,15/02/2026,Facebook
Gamesir X5 Lite,Verde,75.03,15/03/2026,Facebook
Gamesir X5 Lite,Verde,80.4,15/04/2026,Facebook
Gamesir X5 Lite,Verde,90.84,15/05/2026,Facebook
Gamesir X5 Lite,Gris,46.1,15/01/2026,Aliexpress
Gamesir X5 Lite,Gris,43.96,15/02/2026,Aliexpress
Gamesir X5 Lite,Gris,42.34,15/03/2026,Aliexpress
Gamesir X5 Lite,Gris,49.23,15/04/2026,Aliexpress
Gamesir X5 Lite,Gris,43.98,15/05/2026,Aliexpress
Acegamer Pocket,Negro/Blanco,29.54,15/01/2026,Aliexpress
Acegamer Pocket,Negro/Blanco,30.59,15/02/2026,Aliexpress
Acegamer Pocket,Negro/Blanco,32.24,15/03/2026,Aliexpress
Acegamer Pocket,Negro/Blanco,33.84,15/04/2026,Aliexpress
Acegamer Pocket,Negro/Blanco,34.56,15/05/2026,Aliexpress
Gamesir Supernova,Azul/Rosa,74.58,15/01/2026,Aliexpress
Gamesir Supernova,Azul/Rosa,75.46,15/02/2026,Aliexpress
Gamesir Supernova,Azul/Rosa,76.42,15/03/2026,Aliexpress
Gamesir Supernova,Azul/Rosa,79.56,15/04/2026,Aliexpress
Gamesir Supernova,Azul/Rosa,82.32,15/05/2026,Aliexpress
EasySMX D05,Unique,76.1,15/01/2026,Aliexpress
EasySMX D05,Unique,73.96,15/02/2026,Aliexpress
EasySMX D05,Unique,82.34,15/03/2026,Aliexpress
EasySMX D05,Unique,89.23,15/04/2026,Aliexpress
EasySMX D05,Unique,93.98,15/05/2026,Aliexpress
Gamesir Cyclone 2,Negro/Blanco,118.22,15/01/2026,Aliexpress
Gamesir Cyclone 2,Negro/Blanco,118.04,15/02/2026,Aliexpress
Gamesir Cyclone 2,Negro/Blanco,118.69,15/03/2026,Aliexpress
Gamesir Cyclone 2,Negro/Blanco,116.62,15/04/2026,Aliexpress
Gamesir Cyclone 2,Negro/Blanco,103.34,15/05/2026,Aliexpress
Gamesir Nova Lite,Negro/Blanco/Rosa/Gris,50.21,15/01/2026,Aliexpress
Gamesir Nova Lite,Negro/Blanco/Rosa/Gris,52.85,15/02/2026,Aliexpress
Gamesir Nova Lite,Negro/Blanco/Rosa/Gris,54.08,15/03/2026,Aliexpress
Gamesir Nova Lite,Negro/Blanco/Rosa/Gris,55.67,15/04/2026,Aliexpress
Gamesir Nova Lite,Negro/Blanco/Rosa/Gris,57.83,15/05/2026,Aliexpress
EasySMX X05 Pro,Negro/Blanco,54.4,15/01/2026,Amazon
EasySMX X05 Pro,Negro/Blanco,55.42,15/02/2026,Amazon
EasySMX X05 Pro,Negro/Blanco,57.8,15/03/2026,Amazon
EasySMX X05 Pro,Negro/Blanco,58.15,15/04/2026,Amazon
EasySMX X05 Pro,Negro/Blanco,57.88,15/05/2026,Amazon
Gamesir G8+,Unique,172.71,15/01/2026,Aliexpress
Gamesir G8+,Unique,188.48,15/02/2026,Aliexpress
Gamesir G8+,Unique,194.11,15/03/2026,Aliexpress
Gamesir G8+,Unique,184.59,15/04/2026,Aliexpress
Gamesir G8+,Unique,167.11,15/05/2026,Aliexpress
EasySMX D10,Unique,95.14,15/01/2026,Aliexpress
EasySMX D10,Unique,93.95,15/02/2026,Aliexpress
EasySMX D10,Unique,95.42,15/03/2026,Aliexpress
EasySMX D10,Unique,95.57,15/04/2026,Aliexpress
EasySMX D10,Unique,96.75,15/05/2026,Aliexpress
Gamesir G7 Pro,Unique,223.71,15/01/2026,Aliexpress
Gamesir G7 Pro,Unique,227.35,15/02/2026,Aliexpress
Gamesir G7 Pro,Unique,225.27,15/03/2026,Aliexpress
Gamesir G7 Pro,Unique,226.61,15/04/2026,Aliexpress
Gamesir G7 Pro,Unique,222.08,15/05/2026,Aliexpress
Echtpower Switch Controller (GC),Unique,50.41,15/01/2026,Aliexpress
Echtpower Switch Controller (GC),Unique,49.93,15/02/2026,Aliexpress
Echtpower Switch Controller (GC),Unique,51.22,15/03/2026,Aliexpress
Echtpower Switch Controller (GC),Unique,52.2,15/04/2026,Aliexpress
Echtpower Switch Controller (GC),Unique,52.49,15/05/2026,Aliexpress
EasySMX M20,Unique,122.81,15/01/2026,Amazon
EasySMX M20,Unique,115.26,15/02/2026,Amazon
EasySMX M20,Unique,106.09,15/03/2026,Amazon
EasySMX M20,Unique,98.93,15/04/2026,Amazon
EasySMX M20,Unique,100.31,15/05/2026,Amazon
